Product Name,Category,Price,Rating,Product Image URL,Product Link,Available
smartdrops Smooth Texture Deodorant Cream for Daily Routine For All Skin Type Deodorant Cream  -  For Men & Women,Personal Care,199,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/deodorant/v/l/v/120-gentle-deodorant-cream-with-mild-fragrance-for-comfort-for-original-imahggzzeaxz2j5c.jpeg?q=60,https://www.shopsy.in/smartdrops-smooth-texture-deodorant-cream-for-daily-routine-for-all-skin-type-deodorant-cream-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
Waikil Professional MaxtopT99 Rechargeable Cordless Electric Blade Beard Trimmer N72  Runtime: 120 min Trimmer for Men & Women,Personal Care,151,3.5,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/e/2/u/trimmer-0-25-9-mm-titanium-coated-professional-maxtopt99-original-imahekwcbzzq8z5h.jpeg?q=60,https://www.shopsy.in/waikil-professional-maxtopt99-rechargeable-cordless-electric-blade-beard-trimmer-n72-runtime-120-min-trimmer-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
"Medibar Personal Lubricant for Men & Women, Long Lasting Pleasure Lubricant",Personal Care,221,4,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lubricant/i/h/r/99-personal-lubricant-for-men-women-long-lasting-pleasure-1-original-imah7n2ycj39fgm7.jpeg?q=60,https://www.shopsy.in/medibar-personal-lubricant-for-men-women-long-lasting-pleasure-lubricant/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
notty boy EXTRA TIME GEL FOR MEN Lubricant,Personal Care,311,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lubricant/y/9/q/20-extra-time-gel-for-men-1-notty-boy-original-imah8vrgrzmevnyx.jpeg?q=60,https://www.shopsy.in/notty-boy-extra-time-gel-for-men-lubricant/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
BRIT ACCENT | Perfume Gift Pack for Men | 5 x 8ml | Premium Fragrances | Eau de Toilette  -  40 ml,Personal Care,135,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/perfume/z/i/3/40-perfume-gift-pack-for-men-5-x-8ml-premium-fragrances-eau-de-original-imahga9zstkyzqt5.jpeg?q=60,https://www.shopsy.in/brit-accent-perfume-gift-pack-for-men-5-x-8ml-premium-fragrances-eau-de-toilette-40-ml/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
AXE Dark Temptation & Intense Deodorant Spray  -  For Men,Personal Care,161,4,https://rukminim3.flixcart.com/image/546/564/xif0q/deodorant/2/4/a/-original-imah32rjvtyevcbs.jpeg?q=60,https://www.shopsy.in/axe-dark-temptation-intense-deodorant-spray-for-men/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
"MUUCHSTAC Ocean for Men, Fights Acne & Pimple, Skin Brightening, All Skin Types Face Wash",Personal Care,150,4.1,https://rukminim3.flixcart.com/image/546/564/xif0q/face-wash/5/1/k/100-ocean-for-men-fights-acne-pimple-skin-brightening-all-skin-original-imahajnft9f9hfjc.jpeg?q=60,https://www.shopsy.in/muuchstac-ocean-for-men-fights-acne-pimple-skin-brightening-all-skin-types-face-wash/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
BRUT Original Deodorant Spray for Men Deodorant Spray  -  For Men,Personal Care,159,3.9,https://rukminim3.flixcart.com/image/546/564/xif0q/deodorant/m/2/u/400-0-original-deodorant-spray-for-men-2-deodorant-spray-brut-original-imahckxdt7gbahgs.jpeg?q=60,https://www.shopsy.in/brut-original-deodorant-spray-for-men-deodorant-spray-for-men/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
"BEARDO Godfather Perfume | Premium, Strong & Long Lasting Fragrance | Aromatic | Gift Eau de Parfum  -  20 ml",Personal Care,129,4.1,https://rukminim3.flixcart.com/image/546/564/xif0q/perfume/d/g/l/-original-imahgfz5hznzxtaz.jpeg?q=60,https://www.shopsy.in/beardo-godfather-perfume-premium-strong-long-lasting-fragrance-aromatic-gift-eau-de-parfum-20-ml/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Bladeshine T9 Professional Hair Trimmer for Men | Cordless Rechargeable Beard Trimmer  Runtime: 35 min Trimmer for Men & Women,Personal Care,149,3.5,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/4/4/v/trimmer-1-4-mm-ceramic-t9-professional-hair-trimmer-for-men-original-imahd3qzgudsehmy.jpeg?q=60,https://www.shopsy.in/bladeshine-t9-professional-hair-trimmer-for-men-cordless-rechargeable-beard-trimmer-runtime-35-min-trimmer-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
FlyTouch Face & Chin Shaping Tool for Men and Women | Define Jawline Naturally Jawline Exerciser for Daily Use | Slim Jaw & Reduce Face Puffiness Massager,Personal Care,137,3.5,https://rukminim3.flixcart.com/image/546/564/xif0q/face-shaping-mask/y/0/o/jawline-exerciser-silicone-ball-face-contour-neck-firming-chin-original-imahe925rezvanwz.jpeg?q=60,https://www.shopsy.in/flytouch-face-chin-shaping-tool-for-men-and-women-define-jawline-naturally-jawline-exerciser-for-daily-use-slim-jaw-reduce-face-puffiness-massager/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
Trendy styler Standard MaxtopT99 Rechargeable Cordless Electric Blade Beard Trimmer N64  Runtime: 120 min Trimmer for Men,Personal Care,154,3.7,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/2/5/z/-original-imahcz5cpgarcw3v.jpeg?q=60,https://www.shopsy.in/trendy-styler-standard-maxtopt99-rechargeable-cordless-electric-blade-beard-trimmer-n64-runtime-120-min-trimmer-for-men/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
WENGONVILA Manual Nose & Ear Hair Trimmer for Men & Women Best Quality Stainless Steel Nose Hair Remover  Runtime: 10 min Trimmer for Men & Women,Personal Care,150,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/u/o/8/trimmer-na-stainless-steel-manual-nose-ear-hair-trimmer-for-men-original-imahf4qkmjvzuhbh.jpeg?q=60,https://www.shopsy.in/wengonvila-manual-nose-ear-hair-trimmer-for-men-women-best-quality-stainless-steel-nose-hair-remover-runtime-10-min-trimmer-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
"R FASHION Ice Roller, Face Stone Roller Massager with Gua Sha Stone Set Facial Roller and Natural Stone Jade Roller For Skin Eye Neck Body Ice Cube Roller Women Men Massager",Personal Care,126,3.9,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-massager/n/s/p/101-khushu-original-imagqcwwaayymgdk.jpeg?q=60,https://www.shopsy.in/r-fashion-ice-roller-face-stone-roller-massager-with-gua-sha-stone-set-facial-roller-and-natural-stone-jade-roller-for-skin-eye-neck-body-ice-cube-roller-women-men-massager/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
"Trendy styler Sensational Metal Professional Beard, Mustache, Head and Body Hair Golden Shaver  Runtime: 120 min Trimmer for Men",Personal Care,157,3.6,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/y/e/t/trimmer-1-4-mm-stainless-steel-sensational-metal-professional-original-imah5nyuwhgxcfym.jpeg?q=60,https://www.shopsy.in/trendy-styler-sensational-metal-professional-beard-mustache-head-and-body-hair-golden-shaver-runtime-120-min-trimmer-for-men/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Retail basket Gel Socks for Women & Men | Silicone Cushions for Support HG5 Heel Repair Heel Support,Personal Care,190,3.5,https://rukminim3.flixcart.com/image/546/564/xif0q/support/4/m/k/na-free-size-silicone-gel-heel-socks-for-dry-hard-cracked-heels-original-imagpf67yff6dshh.jpeg?q=60,https://www.shopsy.in/retail-basket-gel-socks-for-women-men-silicone-cushions-for-support-hg5-heel-repair-heel-support/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
